pft_index,pft_name,param_min,param_max
1,not_vegetated,0.0,0.0
2,needleleaf_evergreen_temperate_tree,0.036,3.6
3,needleleaf_evergreen_boreal_tree,0.036,3.6
4,needleleaf_deciduous_boreal_tree,0.0036,0.36
5,broadleaf_evergreen_tropical_tree,0.036,3.6
6,broadleaf_evergreen_temperate_tree,0.036,3.6
7,broadleaf_deciduous_tropical_tree,0.0036,0.36
8,broadleaf_deciduous_temperate_tree,0.036,3.6
9,broadleaf_deciduous_boreal_tree,0.036,3.6
10,broadleaf_evergreen_shrub,0.036,3.6
11,broadleaf_deciduous_temperate_shrub,0.036,3.6
12,broadleaf_deciduous_boreal_shrub,0.036,3.6
13,c3_arctic_grass,0.036,3.6
14,c3_non-arctic_grass,0.036,3.6
15,c4_grass,0.36,3.6
16,c3_crop,0.036,3.6
17,c3_irrigated,0.036,3.6
