pft_index,pft_name,param_min,param_max
1,not_vegetated,0.0,0.0
2,needleleaf_evergreen_temperate_tree,0.012,1.2
3,needleleaf_evergreen_boreal_tree,0.012,1.2
4,needleleaf_deciduous_boreal_tree,0.012,1.2
5,broadleaf_evergreen_tropical_tree,0.012,1.2
6,broadleaf_evergreen_temperate_tree,0.012,1.2
7,broadleaf_deciduous_tropical_tree,0.0012,0.12
8,broadleaf_deciduous_temperate_tree,0.012,1.2
9,broadleaf_deciduous_boreal_tree,0.012,1.2
10,broadleaf_evergreen_shrub,0.012,1.2
11,broadleaf_deciduous_temperate_shrub,0.012,1.2
12,broadleaf_deciduous_boreal_shrub,0.012,1.2
13,c3_arctic_grass,0.012,1.2
14,c3_non-arctic_grass,0.012,1.2
15,c4_grass,0.12,1.2
16,c3_crop,0.012,1.2
17,c3_irrigated,0.012,1.2
